user_id,country,user_action,trainer_name,timestamp,readable_timestamp
1472,Egypt,sent_message,,1755502288000,2025-08-18 08:31:28 AM
2811,Ghana,visit_home,,1755991665000,2025-08-24 12:27:45 AM
9526,Ghana,visit_home,,1751924316000,2025-07-07 10:38:36 PM
9900,Nigeria,visit_home,,1758533458000,2025-09-22 10:30:58 AM
8784,Nigeria,view_plan,,1751485046000,2025-07-02 08:37:26 PM
4815,Nigeria,visit_trainers,Mia Carter,1758111558000,2025-09-17 01:19:18 PM
8126,Nigeria,visit_home,,1757215681000,2025-09-07 04:28:01 AM
4392,South Africa,visit_home,,1748979867000,2025-06-03 08:44:27 PM
8204,Nigeria,visit_home,,1759328534000,2025-10-01 03:22:14 PM
1774,South Africa,visit_plans,,1757928355000,2025-09-15 10:25:55 AM
6514,Nigeria,visit_home,,1758269463000,2025-09-19 09:11:03 AM
1853,Nigeria,visit_plans,,1753423559000,2025-07-25 07:05:59 AM
1690,Kenya,visit_home,,1761532121000,2025-10-27 03:28:41 AM
9518,Egypt,visit_home,,1755900766000,2025-08-22 11:12:46 PM
5027,Ghana,visit_home,,1760705766000,2025-10-17 01:56:06 PM
3188,Nigeria,visit_home,,1761275389000,2025-10-24 04:09:49 AM
6464,South Africa,visit_home,,1751433375000,2025-07-02 06:16:15 AM
9684,Egypt,visit_home,,1754928131000,2025-08-11 05:02:11 PM
8124,Egypt,visit_home,,1751030721000,2025-06-27 02:25:21 PM
3665,Nigeria,visit_home,,1749189097000,2025-06-06 06:51:37 AM
4032,Egypt,visit_home,,1759473940000,2025-10-03 07:45:40 AM
8410,Kenya,visit_home,,1751490918000,2025-07-02 10:15:18 PM
9000,Nigeria,visit_home,,1751288829000,2025-06-30 02:07:09 PM
2732,South Africa,visit_home,,1758672811000,2025-09-24 01:13:31 AM
1718,Egypt,visit_home,,1759815743000,2025-10-07 06:42:23 AM
8513,Ghana,sent_message,,1759569876000,2025-10-04 10:24:36 AM
8082,South Africa,visit_trainers,Alex Johnson,1754588717000,2025-08-07 06:45:17 PM
5631,Ghana,visit_home,,1761895711000,2025-10-31 08:28:31 AM
1650,Kenya,visit_home,,1755068803000,2025-08-13 08:06:43 AM
9631,Ghana,visit_home,,1750323767000,2025-06-19 10:02:47 AM
4675,South Africa,visit_home,,1758855886000,2025-09-26 04:04:46 AM
8888,South Africa,visit_trainers,Alex Johnson,1754715421000,2025-08-09 05:57:01 AM
4122,Tanzania,visit_home,,1753513838000,2025-07-26 08:10:38 AM
4308,Ghana,visit_home,,1755338386000,2025-08-16 10:59:46 AM
4710,Nigeria,subscribed_elite,,1752745238000,2025-07-17 10:40:38 AM
9683,South Africa,visit_trainers,Alex Johnson,1757051280000,2025-09-05 06:48:00 AM
8974,Egypt,visit_home,,1757726258000,2025-09-13 02:17:38 AM
3590,Nigeria,visit_trainers,Liam Smith,1750417454000,2025-06-20 12:04:14 PM
9108,Nigeria,visit_home,,1759514362000,2025-10-03 06:59:22 PM
4894,South Africa,visit_home,,1754250978000,2025-08-03 08:56:18 PM
3790,Egypt,subscribed_elite,,1749103872000,2025-06-05 07:11:12 AM
5975,Egypt,visit_home,,1752911724000,2025-07-19 08:55:24 AM
1811,Nigeria,visit_home,,1761695697000,2025-10-29 12:54:57 AM
4830,South Africa,visit_home,,1755783945000,2025-08-21 02:45:45 PM
2003,Nigeria,visit_home,,1752798182000,2025-07-18 01:23:02 AM
1599,Nigeria,visit_plans,,1755145646000,2025-08-14 05:27:26 AM
6213,Nigeria,visit_trainers,Liam Smith,1759042285000,2025-09-28 07:51:25 AM
2247,Ghana,visit_home,,1756196783000,2025-08-26 09:26:23 AM
3985,South Africa,visit_trainers,Mia Carter,1753396400000,2025-07-24 11:33:20 PM
1588,Egypt,visit_home,,1755582636000,2025-08-19 06:50:36 AM
4616,South Africa,view_plan,,1759874051000,2025-10-07 10:54:11 PM
7795,Ghana,visit_home,,1757369972000,2025-09-08 11:19:32 PM
3108,Egypt,visit_home,,1751930780000,2025-07-08 12:26:20 AM
6779,Ghana,visit_home,,1749247174000,2025-06-06 10:59:34 PM
2585,Nigeria,visit_home,,1762281315000,2025-11-04 07:35:15 PM
6939,Nigeria,visit_home,,1758357714000,2025-09-20 09:41:54 AM
8594,Nigeria,visit_home,,1750395115000,2025-06-20 05:51:55 AM
6087,South Africa,visit_home,,1751088477000,2025-06-28 06:27:57 AM
7466,South Africa,visit_home,,1759447123000,2025-10-03 12:18:43 AM
8491,Kenya,visit_home,,1758866116000,2025-09-26 06:55:16 AM
5706,Egypt,visit_home,,1760130897000,2025-10-10 10:14:57 PM
7474,Ghana,visit_home,,1756036526000,2025-08-24 12:55:26 PM
1990,Ghana,visit_plans,,1754367359000,2025-08-05 05:15:59 AM
2285,Ghana,visit_home,,1754425813000,2025-08-05 09:30:13 PM
2935,Ghana,visit_trainers,Liam Smith,1758668882000,2025-09-24 12:08:02 AM
6496,Nigeria,view_plan,,1760757122000,2025-10-18 04:12:02 AM
3850,South Africa,visit_plans,,1758768946000,2025-09-25 03:55:46 AM
5295,Kenya,visit_home,,1749911806000,2025-06-14 03:36:46 PM
6295,Kenya,visit_home,,1760512434000,2025-10-15 08:13:54 AM
8372,South Africa,visit_home,,1754171213000,2025-08-02 10:46:53 PM
1802,Egypt,visit_home,,1752095187000,2025-07-09 10:06:27 PM
3206,South Africa,visit_home,,1761134034000,2025-10-22 12:53:54 PM
7028,Egypt,visit_home,,1751412333000,2025-07-02 12:25:33 AM
2712,Nigeria,visit_trainers,Liam Smith,1750892334000,2025-06-25 11:58:54 PM
9921,Ghana,sent_message,,1752250697000,2025-07-11 05:18:17 PM
8891,Egypt,visit_home,,1758369171000,2025-09-20 12:52:51 PM
6881,Nigeria,visit_home,,1761113087000,2025-10-22 07:04:47 AM
9749,Egypt,visit_home,,1749270212000,2025-06-07 05:23:32 AM
2126,Nigeria,visit_trainers,Liam Smith,1758036383000,2025-09-16 04:26:23 PM
5864,Egypt,visit_home,,1760680780000,2025-10-17 06:59:40 AM
6398,Ghana,visit_home,,1755366499000,2025-08-16 06:48:19 PM
7964,Nigeria,visit_home,,1758703728000,2025-09-24 09:48:48 AM
1483,South Africa,visit_home,,1750565805000,2025-06-22 05:16:45 AM
3130,South Africa,visit_home,,1751111869000,2025-06-28 12:57:49 PM
3514,Nigeria,visit_home,,1752982770000,2025-07-20 04:39:30 AM
9991,South Africa,visit_home,,1757032697000,2025-09-05 01:38:17 AM
6567,South Africa,visit_home,,1754474796000,2025-08-06 11:06:36 AM
6081,Nigeria,visit_trainers,Liam Smith,1754184738000,2025-08-03 02:32:18 AM
2660,Nigeria,visit_home,,1751981525000,2025-07-08 02:32:05 PM
9194,South Africa,visit_home,,1761024811000,2025-10-21 06:33:31 AM
1122,Nigeria,visit_home,,1760081043000,2025-10-10 08:24:03 AM
2605,Ghana,visit_home,,1761364154000,2025-10-25 04:49:14 AM
6168,Ghana,visit_home,,1757482161000,2025-09-10 06:29:21 AM
6319,South Africa,visit_home,,1756498996000,2025-08-29 09:23:16 PM
3406,Ghana,visit_plans,,1751809133000,2025-07-06 02:38:53 PM
8795,Egypt,visit_home,,1753705912000,2025-07-28 01:31:52 PM
4328,Egypt,visit_home,,1751584861000,2025-07-04 12:21:01 AM
3541,Egypt,visit_home,,1751068501000,2025-06-28 12:55:01 AM
7281,Ghana,visit_home,,1760137345000,2025-10-11 12:02:25 AM
9807,South Africa,visit_home,,1751309274000,2025-06-30 07:47:54 PM
2652,Tanzania,sent_message,,1753400506000,2025-07-25 12:41:46 AM
7547,Ghana,visit_home,,1760060528000,2025-10-10 02:42:08 AM
9894,Nigeria,visit_home,,1753580402000,2025-07-27 02:40:02 AM
6919,Ghana,visit_plans,,1755353230000,2025-08-16 03:07:10 PM
4517,Ghana,visit_home,,1762230592000,2025-11-04 05:29:52 AM
8325,Nigeria,visit_home,,1757530889000,2025-09-10 08:01:29 PM
4086,South Africa,visit_home,,1759231834000,2025-09-30 12:30:34 PM
1899,Kenya,visit_plans,,1748940394000,2025-06-03 09:46:34 AM
6793,Egypt,sent_message,,1758838961000,2025-09-25 11:22:41 PM
5260,Egypt,visit_home,,1754687716000,2025-08-08 10:15:16 PM
2949,South Africa,sent_message,,1754675217000,2025-08-08 06:46:57 PM
9956,South Africa,visit_home,,1751121272000,2025-06-28 03:34:32 PM
1931,Nigeria,visit_home,,1754206336000,2025-08-03 08:32:16 AM
2079,Nigeria,subscribed_basic,,1758829712000,2025-09-25 08:48:32 PM
3912,Nigeria,visit_home,,1756515430000,2025-08-30 01:57:10 AM
4222,South Africa,visit_home,,1752606723000,2025-07-15 08:12:03 PM
6230,South Africa,visit_home,,1758621436000,2025-09-23 10:57:16 AM
2670,Ghana,subscribed_pro,,1752248817000,2025-07-11 04:46:57 PM
2675,Nigeria,visit_home,,1757393532000,2025-09-09 05:52:12 AM
8914,Egypt,visit_home,,1751502035000,2025-07-03 01:20:35 AM
9673,Egypt,visit_plans,,1759087472000,2025-09-28 08:24:32 PM
7637,Nigeria,visit_home,,1751834564000,2025-07-06 09:42:44 PM
