user_id,country,user_action,trainer_name,timestamp,readable_timestamp,readable_dt,date_only,time_only,hour,day,month
1472,Egypt,sent_message,,1755502288000,2025-08-18 08:31:28 AM,2025-08-18 08:31:28,2025-08-18,08:31:28 AM,8,Monday,August
2811,Ghana,visit_home,,1755991665000,2025-08-24 12:27:45 AM,2025-08-24 00:27:45,2025-08-24,12:27:45 AM,0,Sunday,August
9526,Ghana,visit_home,,1751924316000,2025-07-07 10:38:36 PM,2025-07-07 22:38:36,2025-07-07,10:38:36 PM,22,Monday,July
9900,Nigeria,visit_home,,1758533458000,2025-09-22 10:30:58 AM,2025-09-22 10:30:58,2025-09-22,10:30:58 AM,10,Monday,September
8784,Nigeria,view_plan,,1751485046000,2025-07-02 08:37:26 PM,2025-07-02 20:37:26,2025-07-02,08:37:26 PM,20,Wednesday,July
4815,Nigeria,visit_trainers,Mia Carter,1758111558000,2025-09-17 01:19:18 PM,2025-09-17 13:19:18,2025-09-17,01:19:18 PM,13,Wednesday,September
8126,Nigeria,visit_home,,1757215681000,2025-09-07 04:28:01 AM,2025-09-07 04:28:01,2025-09-07,04:28:01 AM,4,Sunday,September
4392,South Africa,visit_home,,1748979867000,2025-06-03 08:44:27 PM,2025-06-03 20:44:27,2025-06-03,08:44:27 PM,20,Tuesday,June
8204,Nigeria,visit_home,,1759328534000,2025-10-01 03:22:14 PM,2025-10-01 15:22:14,2025-10-01,03:22:14 PM,15,Wednesday,October
1774,South Africa,visit_plans,,1757928355000,2025-09-15 10:25:55 AM,2025-09-15 10:25:55,2025-09-15,10:25:55 AM,10,Monday,September
6514,Nigeria,visit_home,,1758269463000,2025-09-19 09:11:03 AM,2025-09-19 09:11:03,2025-09-19,09:11:03 AM,9,Friday,September
1853,Nigeria,visit_plans,,1753423559000,2025-07-25 07:05:59 AM,2025-07-25 07:05:59,2025-07-25,07:05:59 AM,7,Friday,July
1690,Kenya,visit_home,,1761532121000,2025-10-27 03:28:41 AM,2025-10-27 03:28:41,2025-10-27,03:28:41 AM,3,Monday,October
9518,Egypt,visit_home,,1755900766000,2025-08-22 11:12:46 PM,2025-08-22 23:12:46,2025-08-22,11:12:46 PM,23,Friday,August
5027,Ghana,visit_home,,1760705766000,2025-10-17 01:56:06 PM,2025-10-17 13:56:06,2025-10-17,01:56:06 PM,13,Friday,October
3188,Nigeria,visit_home,,1761275389000,2025-10-24 04:09:49 AM,2025-10-24 04:09:49,2025-10-24,04:09:49 AM,4,Friday,October
6464,South Africa,visit_home,,1751433375000,2025-07-02 06:16:15 AM,2025-07-02 06:16:15,2025-07-02,06:16:15 AM,6,Wednesday,July
9684,Egypt,visit_home,,1754928131000,2025-08-11 05:02:11 PM,2025-08-11 17:02:11,2025-08-11,05:02:11 PM,17,Monday,August
8124,Egypt,visit_home,,1751030721000,2025-06-27 02:25:21 PM,2025-06-27 14:25:21,2025-06-27,02:25:21 PM,14,Friday,June
3665,Nigeria,visit_home,,1749189097000,2025-06-06 06:51:37 AM,2025-06-06 06:51:37,2025-06-06,06:51:37 AM,6,Friday,June
