user_id,session_id,country,user_action,timestamp,readable_timestamp,hour,day,month
9882,e2eb9504-13d9-4b85-9357-621647d1f3d6,Ghana,visit home,1759001430291,2027-09-25 20:30:30,20,Saturday,September
1148,b0641a99-a0dd-46d6-b5cd-0071973e9934,Egypt,visit plans,1754855004291,2010-08-25 20:43:24,20,Wednesday,August
4926,5c46f3e8-9806-44fb-8854-5a7dfd64cf3d,Egypt,visit home,1748724497291,2031-05-25 21:48:17,21,Sunday,May
3190,2c4a806d-7ec3-42f2-aee3-23e5658d5417,Egypt,visit home,1760032377291,2009-10-25 18:52:57,18,Sunday,October
7498,f9008d79-8a7a-4118-aecf-14a64d348739,USA,visit contact,1760645214291,2016-10-25 21:06:54,21,Tuesday,October
9916,3b5cbde2-c499-432f-99ea-e17551965b9e,USA,visit home,1760637786291,2016-10-25 19:03:06,19,Tuesday,October
5109,9a7de588-9d33-419c-987d-e25e8503c240,Nigeria,visit plans,1756350982291,2028-08-25 04:16:22,4,Friday,August
4713,6bb53805-62c1-45d9-89f8-e62e4719f001,Ghana,visit trainers,1753994596291,2031-07-25 21:43:16,21,Friday,July
6746,229d9cf2-6458-45c6-8210-00e26e9852da,Ghana,join_plan,1758995551291,2027-09-25 18:52:31,18,Saturday,September
5837,56145e8a-b942-4b87-92d8-652a9ef99a4e,South Africa,visit trainers,1755202487291,2014-08-25 21:14:47,21,Monday,August
3296,dc39aeaa-2fee-4d58-b51e-5b57e319f25b,South Africa,visit contact,1754078108291,2001-08-25 20:55:08,20,Saturday,August
6590,32825c4c-7962-4945-ba0a-e534fea49fbb,Nigeria,visit plans,1756317138291,2027-08-25 18:52:18,18,Wednesday,August
7870,fb3c4cf9-1c90-442a-99af-790dcb3301f1,South Africa,visit plans,1745608072291,2025-04-25 20:07:52,20,Friday,April
8971,c96a6a2f-5403-4b14-bfbc-9f5b6ed34911,Egypt,visit home,1748022775291,2023-05-25 18:52:55,18,Thursday,May
8607,b421dd96-2d1b-4536-a433-466c2c6d75dd,USA,visit trainers,1755111623291,2013-08-25 20:00:23,20,Sunday,August
9293,d7838341-2543-440a-92ea-3aa2dce60355,USA,visit plans,1747692292291,2019-05-25 23:04:52,23,Saturday,May
6314,98a68d37-a64e-46ce-8505-fa8e2c1c0b5d,South Africa,visit home,1755293772291,2015-08-25 22:36:12,22,Tuesday,August
9102,0628ea0c-ce11-496f-9943-4bd450921dd3,South Africa,visit trainers,1759435551291,2002-10-25 21:05:51,21,Friday,October
4224,98e08f1d-dad0-46f8-a2bc-38bfc8cc29e8,Ghana,visit home,1760986131291,2020-10-25 19:48:51,19,Sunday,October
3393,02bfc4f2-5543-4f2c-a988-acb88664f0ab,USA,visit home,1756662769291,2031-08-25 18:52:49,18,Monday,August
9887,0388bcfd-747b-4430-b0ab-0fca6b41f8f3,South Africa,visit contact,1749678129291,2011-06-25 22:42:09,22,Saturday,June
9507,d35fa5df-9dde-4adf-b04f-d2cb62c7b63e,South Africa,visit home,1758478310291,2021-09-25 19:11:50,19,Saturday,September
1600,c7fb0ac4-4870-42b9-85ce-6608e052c6d8,Egypt,visit plans,1760127708291,2010-10-25 21:21:48,21,Monday,October
8936,f51b9fa5-4bf5-4678-92e4-dc94d9b4a330,USA,visit contact,1748368327291,2027-05-25 18:52:07,18,Tuesday,May
4976,1176e3e4-9cc7-4f25-a6c3-00de9646c6fc,Ghana,visit home,1752000605291,2008-07-25 19:50:05,19,Friday,July
4071,2c0d91c6-3be4-4b70-95ac-6886e9c44640,Egypt,visit home,1749059532291,2004-06-25 18:52:12,18,Friday,June
1554,9e75ecb7-3e22-4a59-ba78-4832f500918b,USA,visit contact,1759342537291,2001-10-25 19:15:37,19,Thursday,October
2372,65ac29fd-7d2c-47c6-8785-886c20f3f9bb,South Africa,visit home,1753301758291,2023-07-25 21:15:58,21,Tuesday,July
1364,b4593a20-dbe2-4c4a-905a-ebfe0dbc92d5,Egypt,visit plans,1752531613291,2014-07-25 23:20:13,23,Friday,July
6722,5a78997b-b902-4232-9bca-6c18e135bc04,Ghana,visit plans,1746908488291,2010-05-25 21:21:28,21,Tuesday,May
6151,6b327baa-3a3a-4fe5-adc0-c658daa76bbf,South Africa,visit home,1752433220291,2013-07-25 20:00:20,20,Thursday,July
8815,61c23479-f92e-4e87-a3d2-1d7f0a483aa7,Egypt,visit home,1746381174291,2004-05-25 18:52:54,18,Tuesday,May
7877,2fedbab2-3465-4e70-bc8d-24c3aa664c89,UK,visit plans,1758746764291,2024-09-25 21:46:04,21,Wednesday,September
9751,be7a4a62-fc54-4025-ae5a-b28d900fd1b9,South Africa,visit trainers,1746222042291,2002-05-25 22:40:42,22,Saturday,May
7142,3355b08c-af38-4dcf-8222-922b89f107e8,UK,sent message,1758399624291,2020-09-25 21:20:24,21,Friday,September
8558,6fd54dd2-020b-45d8-a68f-a762d89ff994,UK,join_plan,1756406545291,2028-08-25 19:42:25,19,Friday,August
4454,62099622-0926-4f48-b921-7d4c25355669,Egypt,join_plan,1747791800291,2021-05-25 02:43:20,2,Tuesday,May
